Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres,Capacity_acrefeet
3334.32,3331.4,14361.36,1099220.3
3334.65,3331.73,14387.7,1103938.11
3334.97,3332.06,14413.61,1108661.58
3335.3,3332.39,14439.4,1113393.55
3335.63,3332.72,14464.72,1118136.84
3335.96,3333.05,14489.85,1122885.46
3336.29,3333.37,14515.19,1127645.24
3336.61,3333.7,14540.31,1132410.44
3336.94,3334.03,14566.15,1137183.87
3337.27,3334.36,14598.56,1141969.6
3337.6,3334.69,14637.65,1146764.37
3337.93,3335.01,14678.43,1151575.02
3338.25,3335.34,14714.65,1156395.96
3338.58,3335.67,14744.24,1161227.36
3338.91,3336,14773,1166071.23
3339.24,3336.33,14803.95,1170921.77
3339.57,3336.65,14836.67,1175785.88
3339.9,3336.98,14868.56,1180657.72
3340.22,3337.31,14897.45,1185539.46
3340.55,3337.64,14927.23,1190433.75
3340.88,3337.97,14955.25,1195334.61
3341.21,3338.29,14982.59,1200247.49
3341.54,3338.62,15010.41,1205166.4
3341.86,3338.95,15038.34,1210094.48
3342.19,3339.28,15066.26,1215034.73
3342.52,3339.61,15093.12,1219980.99
3342.85,3339.93,15119.35,1224938.93
3343.18,3340.26,15146.25,1229902.49
3343.5,3340.59,15172.72,1234874.87
3343.83,3340.92,15199.46,1239859.02
3344.16,3341.25,15225.49,1244848.79
3344.49,3341.58,15251.57,1249850.14
3344.82,3341.9,15278.61,1254857.13
3345.14,3342.23,15305.87,1259873.08
3345.47,3342.56,15332.99,1264900.99
3345.8,3342.89,15360.65,1269934.78
3346.13,3343.22,15396.01,1274981.65
3346.46,3343.54,15464.63,1280041.89
3346.78,3343.87,15524.8,1285125.05
3347.11,3344.2,15575.72,1290228.52
3347.44,3344.53,15623.61,1295345.42
3347.77,3344.86,15670.72,1300480.94
3348.1,3345.18,15714.37,1305628.2
3348.43,3345.51,15756.72,1310789.61
3348.75,3345.84,15797.83,1315967.79
3349.08,3346.17,15838.25,1321156.25
3349.41,3346.5,15875.12,1326360.61
3349.74,3346.82,15908.13,1331573.22
3350.07,3347.15,15939.83,1336796.42
3350.39,3347.48,15969.83,1342032.88
3350.72,3347.81,15998.68,1347275.83
